Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),27/481,1.085467218372018e-16,5.721622063115638e-14,0,0,9.77799970133652,359.4329228801963,SERPINB10;CD63;ORM1;MS4A3;CRISP3;RETN;ABCA13;ORM2;RAB44;LAMP1;OLR1;CTSG;QSOX1;PGLYRP1;CAMP;DGAT1;DEFA4;RNASE3;AZU1;DEFA1;PPBP;OLFM4;CEACAM6;LCN2;BPI;CEACAM8;LTF
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),27/485,1.3345437731164415e-16,5.721622063115638e-14,0,0,9.690603952335136,354.21843678723485,SERPINB10;CD63;ORM1;MS4A3;CRISP3;RETN;ABCA13;ORM2;RAB44;LAMP1;OLR1;CTSG;QSOX1;PGLYRP1;CAMP;DGAT1;DEFA4;RNASE3;AZU1;DEFA1;PPBP;OLFM4;CEACAM6;LCN2;BPI;CEACAM8;LTF
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),27/488,1.5561982039299106e-16,5.721622063115638e-14,0,0,9.626052428398102,350.37979597775717,SERPINB10;CD63;ORM1;MS4A3;CRISP3;RETN;ABCA13;ORM2;RAB44;LAMP1;OLR1;CTSG;QSOX1;PGLYRP1;CAMP;DGAT1;DEFA4;RNASE3;AZU1;DEFA1;PPBP;OLFM4;CEACAM6;LCN2;BPI;CEACAM8;LTF
GO_Biological_Process_2021,defense response to Gram-negative bacterium (GO:0050829),9/73,2.8201965856450886e-09,7.776692084916332e-07,0,0,20.464039522058822,402.8644800023359,DEFA4;DEFA3;CTSG;BPI;RNASE3;AZU1;DEFA1;CAMP;LTF
GO_Biological_Process_2021,innate immune response in mucosa (GO:0002227),6/21,6.491912105490726e-09,1.4321158104712542e-06,0,0,57.093525179856115,1076.367600372427,DEFA4;DEFA3;DEFA1;RNASE3;CAMP;LTF
GO_Biological_Process_2021,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),8/64,1.9745326218855083e-08,3.629849136566192e-06,0,0,20.64546402502607,366.2577374993256,DEFA4;DEFA3;RNASE3;DEFA1;PPBP;PGLYRP1;CAMP;LTF
GO_Biological_Process_2021,antibacterial humoral response (GO:0019731),7/44,2.786639427172738e-08,4.390947554530758e-06,0,0,27.16921269095182,472.6313959127658,DEFA4;DEFA3;CTSG;DEFA1;RNASE3;CAMP;LTF
GO_Biological_Process_2021,mucosal immune response (GO:0002385),6/28,4.322886701701809e-08,5.96018003997137e-06,0,0,38.9136690647482,659.8496438072609,DEFA4;DEFA3;DEFA1;RNASE3;CAMP;LTF
GO_Biological_Process_2021,defense response to bacterium (GO:0042742),11/176,6.53515007448244e-08,8.009189480171256e-06,0,0,9.796019900497512,162.06031251951987,DEFA4;LCN2;DEFA3;CTSG;BPI;RNASE3;AZU1;DEFA1;PGLYRP1;CAMP;LTF
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),8/120,2.6651894718805877e-06,0.0002939703987484288,0,0,10.293534932221064,132.11994401991575,PABPN1;GFI1;DEFA4;DEFA3;CTSG;BPI;DEFA1;PPBP
GO_Biological_Process_2021,defense response to Gram-positive bacterium (GO:0050830),6/70,1.1716463908233354e-05,0.001174841790071,0,0,13.348246402877695,151.5628711285278,DEFA4;DEFA3;RNASE3;DEFA1;PGLYRP1;CAMP
GO_Biological_Process_2021,innate immune response (GO:0045087),11/302,1.30641902070468e-05,0.001200816816531,0,0,5.518900343642612,62.063542413357446,DEFA4;CRISP3;LCN2;DEFA3;BPI;RNASE3;DEFA1;PGLYRP1;TRIM11;CAMP;LTF
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496),8/159,2.1198054175689674e-05,0.0016701038396989,0,0,7.619857881761493,82.00187145494102,PABPN1;GFI1;DEFA4;MAPKAPK2;DEFA3;CTSG;DEFA1;PPBP
