gene,module
ENSG00000122026,8
ENSG00000110455,8
ENSG00000101220,8
ENSG00000247708,8
ENSG00000228065,8
ENSG00000183778,8
ENSG00000245248,8
ENSG00000174444,8
ENSG00000269242,8
ENSG00000227906,8
ENSG00000096433,8
ENSG00000257743,1
ENSG00000285841,8
ENSG00000203812,4
ENSG00000240445,8
ENSG00000116147,8
ENSG00000204959,8
ENSG00000134755,1
ENSG00000286042,8
ENSG00000113070,8
ENSG00000138326,8
ENSG00000254732,8
ENSG00000253239,1
ENSG00000184949,8
ENSG00000142279,8
ENSG00000181163,8
ENSG00000083067,8
ENSG00000283674,8
ENSG00000089692,8
ENSG00000118046,8
ENSG00000143297,8
ENSG00000237720,8
ENSG00000089220,8
ENSG00000154928,1
ENSG00000178038,8
ENSG00000123405,1
ENSG00000215252,8
ENSG00000106070,4
ENSG00000078114,8
ENSG00000253320,4
ENSG00000139289,8
ENSG00000127124,8
ENSG00000157978,8
ENSG00000087116,4
ENSG00000100867,8
ENSG00000130649,8
ENSG00000285108,8
ENSG00000186792,8
ENSG00000165125,8
ENSG00000144642,8
ENSG00000006432,8
ENSG00000140937,8
ENSG00000168040,1
ENSG00000101448,8
ENSG00000177084,8
ENSG00000167775,8
ENSG00000188056,4
ENSG00000268416,8
ENSG00000169918,8
ENSG00000274602,8
ENSG00000154096,8
ENSG00000185477,8
ENSG00000163359,8
ENSG00000160223,8
ENSG00000275895,2
ENSG00000278599,8
ENSG00000283199,8
ENSG00000272379,4
ENSG00000101670,8
ENSG00000274213,4
ENSG00000105122,8
ENSG00000284690,8
ENSG00000086570,8
ENSG00000103495,8
ENSG00000248994,8
ENSG00000278890,8
ENSG00000211664,1
ENSG00000286190,8
ENSG00000228157,8
ENSG00000168298,8
ENSG00000132182,8
ENSG00000182173,8
ENSG00000285901,1
ENSG00000270882,1
ENSG00000165762,8
ENSG00000277511,1
ENSG00000268433,1
ENSG00000164919,8
ENSG00000130561,8
ENSG00000165997,4
ENSG00000134954,8
ENSG00000261150,8
ENSG00000102935,8
ENSG00000187514,8
ENSG00000104043,8
ENSG00000250069,1
ENSG00000171115,1
ENSG00000105369,8
ENSG00000060491,8
ENSG00000211951,1
ENSG00000101608,1
ENSG00000228318,1
ENSG00000197013,1
ENSG00000256029,8
ENSG00000102466,8
ENSG00000143147,8
ENSG00000213742,8
ENSG00000203896,8
ENSG00000280071,8
ENSG00000182782,1
ENSG00000177614,8
ENSG00000206142,8
ENSG00000260788,8
ENSG00000161944,8
ENSG00000279905,8
ENSG00000267007,8
ENSG00000270112,8
ENSG00000130226,8
ENSG00000162714,1
ENSG00000071082,8
ENSG00000132109,1
ENSG00000204362,8
ENSG00000147138,8
ENSG00000065534,8
ENSG00000214456,8
ENSG00000180138,1
ENSG00000185697,8
ENSG00000279071,8
ENSG00000275302,8
ENSG00000013588,8
ENSG00000186654,8
ENSG00000106571,8
ENSG00000275969,8
ENSG00000263069,1
ENSG00000117399,8
ENSG00000161970,8
ENSG00000189357,8
ENSG00000128228,8
ENSG00000161888,8
ENSG00000182224,1
ENSG00000149970,8
ENSG00000135148,1
ENSG00000235823,8
ENSG00000287277,8
ENSG00000067840,8
ENSG00000112541,8
ENSG00000109956,8
ENSG00000267520,8
ENSG00000188157,1
ENSG00000185046,8
ENSG00000281100,1
ENSG00000173272,8
ENSG00000109971,1
ENSG00000112053,1
ENSG00000183054,8
ENSG00000108561,1
ENSG00000282416,4
ENSG00000127564,8
ENSG00000269893,8
ENSG00000183784,1
ENSG00000121807,1
ENSG00000089250,8
ENSG00000272620,8
ENSG00000073861,8
ENSG00000205534,1
ENSG00000102010,1
ENSG00000103148,8
ENSG00000246695,8
ENSG00000131188,8
ENSG00000197629,8
ENSG00000135211,1
ENSG00000173227,8
ENSG00000185630,8
ENSG00000164649,8
ENSG00000196358,1
ENSG00000184156,8
ENSG00000260230,8
ENSG00000151067,8
ENSG00000233593,8
ENSG00000188282,1
ENSG00000273802,4
ENSG00000125968,8
ENSG00000135931,8
ENSG00000174306,8
ENSG00000256654,8
ENSG00000103723,8
ENSG00000130294,8
ENSG00000259132,1
ENSG00000111801,1
ENSG00000198478,8
ENSG00000262160,8
ENSG00000076864,4
ENSG00000283486,8
ENSG00000111816,8
ENSG00000145425,8
ENSG00000110700,8
ENSG00000214872,1
ENSG00000159753,8
ENSG00000134824,8
ENSG00000090924,8
ENSG00000111261,1
ENSG00000111371,8
ENSG00000143921,8
ENSG00000198886,8
ENSG00000175893,8
ENSG00000169704,8
ENSG00000133424,8
ENSG00000185829,8
ENSG00000160072,8
ENSG00000285958,8
ENSG00000249859,8
ENSG00000162069,1
ENSG00000162520,8
ENSG00000166923,8
ENSG00000273274,8
ENSG00000128573,8
ENSG00000234506,4
ENSG00000104738,8
ENSG00000163754,1
ENSG00000104731,8
ENSG00000125910,4
ENSG00000116329,8
ENSG00000188820,8
ENSG00000274536,1
ENSG00000084710,8
ENSG00000232931,8
ENSG00000239653,1
ENSG00000250986,8
ENSG00000103522,8
ENSG00000229425,8
