Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Interferon Gamma Response,25/200,1.7052203180124169e-12,7.502969399254636e-11,0,0,6.7899159663865545,183.98857185017235,LGALS3BP;CD274;CSF2RB;DDX60;IFI44L;IFIH1;EPSTI1;JAK2;CMTR1;RSAD2;NCOA3;LYSMD2;IFI44;TAP1;IFI27;OAS2;OAS3;SERPING1;FAS;CMPK2;PTPN6;LAP3;XAF1;IRF9;LY6E
MSigDB_Hallmark_2020,Interferon Alpha Response,17/97,2.8535542648572603e-11,6.277819382685973e-10,0,0,9.954296875,241.68904098637512,LGALS3BP;RSAD2;UBA7;TAP1;HLA-C;IFI44;DDX60;IFI44L;IFIH1;IFI27;OAS1;EPSTI1;CMPK2;LAP3;CMTR1;IRF9;LY6E
GO_Biological_Process_2021,endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),17/185,6.06955272534896e-07,0.0011950949316212,0,0,4.718735691391942,67.54780832937689,NSF;NAPA;COPB2;TRAPPC3;STX17;USO1;MIA2;KLHL12;ARCN1;TMEM115;TRAPPC6B;GORASP1;LMAN2;TRIP11;MPPE1;COPG1;ERGIC2
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),9/65,1.0510213515907872e-05,0.0068982034709408,0,0,7.395510444743936,84.77594212362591,RSAD2;IFI27;OAS1;OAS2;OAS3;IFI6;HLA-C;XAF1;IRF9
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),9/65,1.0510213515907872e-05,0.0068982034709408,0,0,7.395510444743936,84.77594212362591,RSAD2;IFI27;OAS1;OAS2;OAS3;IFI6;HLA-C;XAF1;IRF9
MSigDB_Hallmark_2020,Protein Secretion,8/96,0.0011389922545126,0.0167052197328518,0,0,4.166631016042781,28.239805852227487,NAPA;ABCA1;COPB2;SGMS1;USO1;ARFIP1;SCAMP1;ARCN1
GO_Biological_Process_2021,intra-Golgi vesicle-mediated transport (GO:0006891),6/32,5.5909648733509704e-05,0.0274914374861942,0,0,10.560799855881823,103.40896107225048,NAPA;NSF;COPB2;TRAPPC3;GOLGA5;COPG1
GO_Biological_Process_2021,regulation of viral genome replication (GO:0045069),8/67,9.651933701813286e-05,0.0274914374861942,0,0,6.223888334995015,57.54462253755943,IFIH1;FAM111A;APOBEC3F;RSAD2;OAS1;OAS2;OAS3;PPID
GO_Biological_Process_2021,regulation of ribonuclease activity (GO:0060700),3/5,9.756439248740036e-05,0.0274914374861942,0,0,68.25,630.2886109190574,OAS1;OAS2;OAS3
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),8/68,0.00010734850813988754,0.0274914374861942,0,0,6.119843137254902,55.93187754101546,OAS1;OAS2;OAS3;HLA-C;JAK2;TRIM22;IRF9;TRIM34
