Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,action potential (GO:0001508),1/45,0.7774103963032126,0.8792470157123812,0,0,0.6696738376127689,0.1686150912008697,KCNE3
GO_Biological_Process_2021,cellular response to radiation (GO:0071478),1/45,0.7774103963032126,0.8792470157123812,0,0,0.6696738376127689,0.1686150912008697,IFI16
GO_Biological_Process_2021,protein deacetylation (GO:0006476),1/45,0.7774103963032126,0.8792470157123812,0,0,0.6696738376127689,0.1686150912008697,MIER1
GO_Biological_Process_2021,positive regulation of Notch signaling pathway (GO:0045747),1/45,0.7774103963032126,0.8792470157123812,0,0,0.6696738376127689,0.1686150912008697,STAT3
GO_Biological_Process_2021,regulation of neuron death (GO:1901214),2/86,0.7781686750622845,0.8797139881862577,0,0,0.7011795543905636,0.1758642269802245,FCGR2B;BTBD10
GO_Biological_Process_2021,platelet degranulation (GO:0002576),3/125,0.7819540473493468,0.8836011351369949,0,0,0.7238470614816861,0.1780369188247318,LAMP2;PHACTR2;LHFPL2
GO_Biological_Process_2021,erythrocyte differentiation (GO:0030218),1/46,0.7847277491794289,0.8851645603011538,0,0,0.6547582697201018,0.1587254768077708,CASP3
GO_Biological_Process_2021,regulation of telomerase activity (GO:0051972),1/46,0.7847277491794289,0.8851645603011538,0,0,0.6547582697201018,0.1587254768077708,PARP4
GO_Biological_Process_2021,spliceosomal complex assembly (GO:0000245),1/46,0.7847277491794289,0.8851645603011538,0,0,0.6547582697201018,0.1587254768077708,SETX
GO_Biological_Process_2021,positive regulation of nucleocytoplasmic transport (GO:0046824),1/46,0.7847277491794289,0.8851645603011538,0,0,0.6547582697201018,0.1587254768077708,PSEN1
GO_Biological_Process_2021,negative regulation of cell growth (GO:0030308),3/126,0.7864829355968632,0.8867516763900889,0,0,0.7179247749598476,0.1724342260379332,BST2;PML;HSPA1A
GO_Biological_Process_2021,regulation of establishment of planar polarity (GO:0090175),2/88,0.7889300178092012,0.8887239077222626,0,0,0.6848019344285613,0.1623512397647546,PSMB8;PSMB9
GO_Biological_Process_2021,metal ion transport (GO:0030001),2/88,0.7889300178092012,0.8887239077222626,0,0,0.6848019344285613,0.1623512397647546,CCR1;PSEN1
GO_Biological_Process_2021,positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,HFE
GO_Biological_Process_2021,positive regulation of cell-cell adhesion (GO:0022409),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,FUT7
GO_Biological_Process_2021,polyol metabolic process (GO:0019751),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,INPP5D
GO_Biological_Process_2021,regulation of wound healing (GO:0061041),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,CLEC7A
GO_Biological_Process_2021,regulation of synapse assembly (GO:0051963),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,TLR2
GO_Biological_Process_2021,histone deacetylation (GO:0016575),1/47,0.791804905751888,0.8896017181076572,0,0,0.6404912047792898,0.1495164260912849,MIER1
KEGG_2021_Human,Rap1 signaling pathway,9/210,0.2532326695284262,0.8901512019787103,0,0,1.3248056471890932,1.8195497726602392,APBB1IP;FYB1;RALB;RGS14;FPR1;CALML4;CALM2;EFNA4;MAP2K6
GO_Biological_Process_2021,regulation of cation channel activity (GO:2001257),2/89,0.7941363177714144,0.8906495822826035,0,0,0.6768954972055257,0.1560245120295327,PTK2B;CALM2
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),2/89,0.7941363177714144,0.8906495822826035,0,0,0.6768954972055257,0.1560245120295327,MRPL44;MRPS18C
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),2/89,0.7941363177714144,0.8906495822826035,0,0,0.6768954972055257,0.1560245120295327,MRPL44;MRPS18C
GO_Biological_Process_2021,post-Golgi vesicle-mediated transport (GO:0006892),2/89,0.7941363177714144,0.8906495822826035,0,0,0.6768954972055257,0.1560245120295327,RAB10;HSPA8
GO_Biological_Process_2021,positive regulation of DNA repair (GO:0045739),1/48,0.7986497390187308,0.8937437984537379,0,0,0.6268312489848953,0.1409322270458806,SMCHD1
GO_Biological_Process_2021,substrate adhesion-dependent cell spreading (GO:0034446),1/48,0.7986497390187308,0.8937437984537379,0,0,0.6268312489848953,0.1409322270458806,NTNG2
GO_Biological_Process_2021,cellular response to ionizing radiation (GO:0071479),1/48,0.7986497390187308,0.8937437984537379,0,0,0.6268312489848953,0.1409322270458806,IFI16
GO_Biological_Process_2021,regulation of MAPK cascade (GO:0043408),4/166,0.7978587221345128,0.8937437984537379,0,0,0.7264258123153828,0.1640441916901568,PAK1;TRIM5;NBR1;STK3
GO_Biological_Process_2021,inositol phosphate metabolic process (GO:0043647),1/48,0.7986497390187308,0.8937437984537379,0,0,0.6268312489848953,0.1409322270458806,INPP5D
KEGG_2021_Human,Citrate cycle (TCA cycle),2/30,0.2582072688565993,0.8940908414138962,0,0,2.109654871122761,2.8564571872718942,IDH1;ACO1
GO_Biological_Process_2021,positive regulation of macromolecule biosynthetic process (GO:0010557),3/129,0.7996038028394657,0.8944184830180585,0,0,0.7007219426821264,0.1567086987899841,NLRP12;TLR4;TLR2
GO_Biological_Process_2021,axonogenesis (GO:0007409),6/240,0.8029932535645408,0.8978155473348925,0,0,0.7538461538461538,0.1654006055977219,RAB10;NTNG2;SEMA4D;SEMA4B;EFNA4;RAB8A
GO_Biological_Process_2021,regulation of primary metabolic process (GO:0080090),3/130,0.803824826877415,0.8983509583399631,0,0,0.6951682724192401,0.1518066141453989,NFYC;PSMB8;PSMB9
GO_Biological_Process_2021,aminoglycan biosynthetic process (GO:0006023),1/49,0.8052698641552255,0.8991768277086187,0,0,0.6137404580152672,0.1329225721408621,B3GNT8
GO_Biological_Process_2021,inner mitochondrial membrane organization (GO:0007007),1/49,0.8052698641552255,0.8991768277086187,0,0,0.6137404580152672,0.1329225721408621,MTX1
GO_Biological_Process_2021,cellular response to hypoxia (GO:0071456),3/131,0.8079709186840338,0.9010609872094943,0,0,0.6897013782542113,0.1470644819773534,CARD16;PSMB8;PSMB9
GO_Biological_Process_2021,cellular response to metal ion (GO:0071248),3/131,0.8079709186840338,0.9010609872094943,0,0,0.6897013782542113,0.1470644819773534,NCF1;HFE;B2M
GO_Biological_Process_2021,regulation of endothelial cell proliferation (GO:0001936),2/92,0.8090798891826123,0.9010609872094943,0,0,0.654230377166157,0.1386036881941872,STAT1;PDCD6
GO_Biological_Process_2021,regulation of lipid metabolic process (GO:0019216),2/92,0.8090798891826123,0.9010609872094943,0,0,0.654230377166157,0.1386036881941872,NFYC;PRKAG2
GO_Biological_Process_2021,retinoid metabolic process (GO:0001523),2/92,0.8090798891826123,0.9010609872094943,0,0,0.654230377166157,0.1386036881941872,DHRS13;DHRS9
GO_Biological_Process_2021,negative regulation of mitotic cell cycle phase transition (GO:1901991),2/92,0.8090798891826123,0.9010609872094943,0,0,0.654230377166157,0.1386036881941872,PSMB8;PSMB9
GO_Biological_Process_2021,plasma membrane bounded cell projection assembly (GO:0120031),7/278,0.8102247706217022,0.90194164806533,0,0,0.7591071134131988,0.159749214918163,FGD3;FGD4;AVIL;CEP19;CC2D2A;RAB8A;KIF27
