Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),29/90,1.1370094851439665e-30,2.02387688355626e-27,0,0,33.32962529274005,2298.049374842781,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),30/103,3.4214398920688125e-30,2.8771620973779665e-27,0,0,28.89674473412874,1960.571637128552,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;CHMP4B;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),29/94,4.849149602322415e-30,2.8771620973779665e-27,0,0,31.2721978021978,2110.8342438878276,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),28/93,1.061320290188584e-28,4.722875291339198e-26,0,0,30.08639474404599,1937.9510007427905,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",29/113,1.910115525547911e-27,6.800011270950565e-25,0,0,24.17529761904762,1487.327982084944,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),30/162,7.592532038845678e-24,2.252451171524218e-21,0,0,15.932714239165852,848.1760842978313,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;GGT5;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
KEGG_2021_Human,Ribosome,29/158,5.711251393597918e-23,1.2164965468363568e-20,0,0,15.70592469545958,804.4106432408577,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),29/171,5.907068069751661e-22,1.5020830234511366e-19,0,0,14.258576458752517,696.9695181847658,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021,translation (GO:0006412),30/214,3.282946367184407e-20,7.304555666985306e-18,0,0,11.399602618045815,511.4199226305037,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;EEF1D;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
KEGG_2021_Human,Coronavirus disease,30/232,3.4407570475002723e-19,3.66440625558779e-17,0,0,10.374214840838922,441.0434071402711,RPL31;RPL34;RPLP1;RPS14;RPS15A;RPLP2;RPS2;RPS11;RPL18;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL23;RPL22;RPL35A;RPS3A;RPS28;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23;HBEGF
