gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,significant,direction
653635,386.47104649083224,-0.1697315090988876,0.14324687854453752,-1.3643649835564369,0.1724527228946542,0.3572294152971536,WASH7P,False,down
102466751,11.754644514507358,-0.040465658879457876,0.3780017788219967,-0.27572757264051845,0.7827573163437649,0.89157412726066,MIR6859-1,False,down
100996442,34.1919735784145,-0.22848800467503322,0.3050919652111518,-1.2477715047487805,0.21211474678873055,0.4106345311331503,LOC100996442,False,down
729737,70.1158983283616,-0.12354263126581098,0.2261786447234507,-0.7614177957030097,0.44640756155997396,0.6549267400501012,LOC729737,False,down
102725121,8.043767147956487,0.07119082563685124,0.37908400408224824,0.5434948815676228,0.5867891140505427,0.7653597406057407,DDX11L17,False,up
102723897,428.75125527143825,-0.14635919144549137,0.1393837705791476,-1.2039700311310861,0.22860116200078595,0.4313658907032336,WASH9P,False,down
102465909,10.546010207018304,0.008248558562385811,0.3946717050212298,0.05552449823942031,0.9557206132793358,0.9804567139733996,MIR6859-2,False,up
112268260,20.408339238200156,-0.2728884201651327,0.38767284091415843,-1.4400065423880624,0.1498655481053975,0.3253280186499422,LOC112268260,False,down
100132287,104.30748103560893,-0.2728191082726564,0.2058484406418362,-1.6848886676362205,0.0920100533842301,0.22922105889322789,LOC100132287,False,down
113219467,3453.928093196866,0.09983379750678417,0.11293511085390114,0.9550062310719148,0.3395745458923045,0.5537852833558038,MIR12136,False,up
100133331,101.67604840348642,-0.13156581910378343,0.20337132089219728,-0.8491137601344172,0.39581799438861176,0.6084378742620665,LOC100133331,False,down
107984841,15.539503477707882,-0.14401219863260717,0.3561125155967873,-0.8739414596657922,0.38215013479230997,0.595818421150151,LOC107984841,False,down
107984847,29.943142865240183,-0.2590893634415066,0.3364136803217085,-1.3759384465737297,0.16884069091600962,0.35145155269865763,LOC107984847,False,down
100288069,24.776262192894166,-0.40642762778703806,0.3974615839426154,-1.8719187798543964,0.06121784100702917,0.16839354279334756,LOC100288069,False,down
105378580,22.95616367144673,0.06936028022615709,0.3192980412433636,0.42040893800910184,0.6741867397779264,0.8270799216964849,LINC01409,False,up
79854,28.645580011962032,-0.05428015746081745,0.2760086431634383,-0.32773214957415,0.7431141928769762,0.8707446487226855,LINC00115,False,down
643837,369.99711969343844,0.2598493802603961,0.136202903455315,2.131372853150996,0.0330584374897584,0.10529249702416676,LINC01128,False,up
284600,7.637633838616537,-0.39106468615174905,0.6562896378498491,-2.072642193522061,0.03820559121915128,0.11772946788577847,LOC284600,False,down
100130417,15.772672984659895,-1.7000473225380979,0.5688082706699487,-3.7099425761901204,0.00020730626294857444,0.0014411169355397274,LINC02593,True,down
107985728,20.935021612633186,-2.515518351230446,0.5641846165483974,-5.036234836807083,4.7477803311240453e-07,5.786923489109287e-06,LOC107985728,True,down
148398,161.13737276709696,-0.6936905550115269,0.19408386777931033,-3.9958351449862657,6.446658484227624e-05,0.0005104936587579147,SAMD11,False,down
