Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,21/200,1.1254880643270956e-17,4.3894034508756733e-16,0,0,16.47486033519553,642.943448005977,KLF10;DUSP5;CD83;GADD45B;SPHK1;ZBTB10;TRAF1;ICAM1;NR4A2;NFKBIA;FOSL1;ZFP36;NR4A3;BHLHE40;FOSB;HES1;CCNL1;PHLDA2;NFKBIE;IER5;LDLR
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",28/948,2.2580430567173802e-09,3.294484819750657e-06,0,0,4.3292906178489705,86.19083949730145,HNRNPU;CHD3;ZBTB5;FOXO1;IKZF5;ZFP36;BCLAF1;SIN3A;SAP130;FLNA;KAT7;HES1;KLF10;PHF10;HMGA1;NR1D2;NR1D1;SUPT5H;SMARCA2;NR4A2;ILF3;NR4A3;KAT6B;ZNF318;BHLHE40;CRY2;FOSB;BAP1
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),25/908,7.14481170500809e-08,3.474760092535601e-05,0,0,3.946272733328892,64.93313288823707,USP16;DOT1L;HNRNPU;SUPT6H;FOXO1;BCLAF1;SIN3A;KAT7;HES1;IER5;KLF10;PHF10;ATAD2;HMGA1;NR1D2;NR1D1;SUPT5H;SMARCA2;NR4A2;NFKBIA;FOSL1;ASXL1;NR4A3;KAT6B;RHOQ
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",29/1183,6.951729405028789e-08,3.474760092535601e-05,0,0,3.5572251982563943,58.62908397413701,USP16;DOT1L;HNRNPU;FOXO1;BCLAF1;SIN3A;KAT7;HES1;IER5;KLF10;BRPF1;PHF10;ATAD2;HMGA1;EIF2AK3;NR1D2;NR1D1;SUPT5H;SMARCA2;NR4A2;NFKBIA;FOSL1;ASXL1;ILF3;NR4A3;KAT6B;ZNF318;QRICH1;RHOQ
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),17/464,2.185464249724142e-07,7.971480850868809e-05,0,0,5.121551081282625,78.5454767506637,KLF10;PHF10;HMGA1;NR1D2;NR1D1;SMARCA2;FOXO1;ILF3;BCLAF1;KAT6B;SIN3A;ZNF318;BHLHE40;CRY2;KAT7;HES1;BAP1
GO_Biological_Process_2021,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),18/547,4.571344376988622e-07,0.000133391828920528,0,0,4.594762515367431,67.07566793790815,KLF10;PHF10;HMGA1;EIF2AK3;NR1D2;NR1D1;SMARCA2;FOXO1;ILF3;BCLAF1;KAT6B;SIN3A;ZNF318;BHLHE40;CRY2;KAT7;HES1;BAP1
MSigDB_Hallmark_2020,mTORC1 Signaling,9/200,3.59991888796776e-05,0.00055790486281296,0,0,6.090934141636814,62.322524329318554,HSPA9;GGA2;SLC7A5;TFRC;HMGCS1;BHLHE40;ARPC5L;ATP2A2;LDLR
MSigDB_Hallmark_2020,UV Response Up,8/158,4.291575867792e-05,0.00055790486281296,0,0,6.8632679738562095,69.01888587755178,NFKBIA;EIF5;TFRC;PPIF;HNRNPU;DDX21;FOSB;ICAM1
MSigDB_Hallmark_2020,Estrogen Response Early,8/200,0.0002212158817168032,0.0021568548467388,0,0,5.3504901960784315,45.031713159299656,KLF10;SLC7A5;NXT1;FASN;AMFR;BHLHE40;PPIF;HES1
GO_Biological_Process_2021,cellular response to cold (GO:0070417),3/6,1.0059573763631295e-05,0.0021905753007615,0,0,125.54430379746836,1444.6365164998774,NFKBIA;EIF2AK3;FOXO1
