Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Chagas disease,9/102,0.0495258551908383,0.18292933238149,0,0,1.980478129241048,5.951852531879754,JUN;TGFB2;BDKRB2;PIK3R3;IL12A;PIK3R1;ADCY1;CFLAR;TGFBR2
KEGG_2021_Human,Fatty acid biosynthesis,3/18,0.0493316724456014,0.18292933238149,0,0,4.083386923901394,12.28768285528815,OLAH;ACSL1;ACSBG2
KEGG_2021_Human,beta-Alanine metabolism,4/30,0.049689479541019,0.18292933238149,0,0,3.1426213271706835,9.43402995396221,ALDH3A1;ALDH6A1;GADL1;ABAT
KEGG_2021_Human,Riboflavin metabolism,2/8,0.0507715777646181,0.18292933238149,0,0,6.801570306923626,20.271526473725633,ACP5;ENPP1
KEGG_2021_Human,Melanoma,7/72,0.0509907546707986,0.18292933238149,0,0,2.2024178189947836,6.5546397736131885,CDKN1A;GADD45B;PIK3R3;PIK3R1;FGF22;GADD45G;FGF10
KEGG_2021_Human,Non-small cell lung cancer,7/72,0.0509907546707986,0.18292933238149,0,0,2.2024178189947836,6.5546397736131885,CDKN1A;GADD45B;PLCG2;PIK3R3;PIK3R1;FOXO3;GADD45G
KEGG_2021_Human,Fatty acid degradation,5/43,0.0492380262952699,0.18292933238149,0,0,2.6889592402057776,8.096695755892858,ADH1C;ADH1B;ACSL1;ADH1A;ACSBG2
GO_Biological_Process_2021,regulation of fat cell differentiation (GO:0045598),10/80,0.0040606134237258,0.1850322765513982,0,0,2.930268435668004,16.13529231553808,CCDC71L;SFRP2;FRZB;LMO3;ZBTB16;LEP;ENPP1;PPARG;TRIB3;FOXO1
GO_Biological_Process_2021,positive regulation of cell adhesion (GO:0045785),10/80,0.0040606134237258,0.1850322765513982,0,0,2.930268435668004,16.13529231553808,FRMD5;TGFB2;SFRP2;CXCL12;CITED2;LIF;RAC3;IL12A;FSTL3;VEGFA
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,5/49,0.0779198990011566,0.1909037525528338,0,0,2.3215506298213064,5.92476880665747,GPX3;TXNRD1;GLRX;LSP1;GCLM
KEGG_2021_Human,AMPK signaling pathway,10/120,0.0549766901408805,0.1924184154930818,0,0,1.860789318672688,5.397863250435518,SCD;LEP;PIK3R3;PRKAG2;IRS2;PPARG;PIK3R1;FOXO3;FOXO1;CREB5
KEGG_2021_Human,C-type lectin receptor signaling pathway,9/104,0.0548053793290035,0.1924184154930818,0,0,1.9385794583546243,5.62957063224469,EGR2;JUN;EGR3;PLCG2;PIK3R3;IL12A;PIK3R1;LSP1;PTGS2
KEGG_2021_Human,PPAR signaling pathway,7/74,0.0575895975091053,0.1944495821778026,0,0,2.1364490786112493,6.098308721142598,FABP4;ACSL1;SCD;AQP7;PPARG;SORBS1;ACSBG2
KEGG_2021_Human,Thyroid hormone signaling pathway,10/121,0.0575408402834122,0.1944495821778026,0,0,1.8439281614227616,5.2648949076306595,RCAN1;RCAN2;NCOA3;DIO2;PLCG2;PIK3R3;ATP2A2;PIK3R1;ESR1;FOXO1
KEGG_2021_Human,GABAergic synapse,8/89,0.0566376215116165,0.1944495821778026,0,0,2.0203277990634314,5.800526421532631,GNG2;ADCY4;ABAT;ADCY1;ADCY8;GLUL;SLC38A2;GLS
KEGG_2021_Human,Proteoglycans in cancer,15/205,0.0584695629910198,0.1951251695165429,0,0,1.617863877935882,4.5935183181192745,CDKN1A;TGFB2;CAMK2A;PIK3R3;FZD8;PIK3R1;ESR1;THBS1;VEGFA;COL1A1;PPP1CB;SMO;PLCG2;HPSE;WNT2
KEGG_2021_Human,Glioma,7/75,0.0610778193675508,0.20148659952284,0,0,2.1049199012220603,5.884527758931643,CDKN1A;GADD45B;CAMK2A;PLCG2;PIK3R3;PIK3R1;GADD45G
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042),6/34,0.004516298912829,0.2030527991207946,0,0,4.386175115207373,23.68561951749733,TNFSF10;HMOX1;FAIM2;BRCA1;CFLAR;ARHGEF2
GO_Biological_Process_2021,cell chemotaxis (GO:0060326),9/69,0.0047216675296886,0.2072117280112793,0,0,3.0750809061488673,16.46888254906011,CCR1;NR4A1;EGR3;CXCL12;HMGB2;ACKR4;CCN3;ACKR2;VEGFA
GO_Biological_Process_2021,regulation of collateral sprouting (GO:0048670),3/8,0.0047931538507947,0.2072117280112793,0,0,12.256591639871385,65.45714468031582,ULK2;FGF13;NGF
GO_Biological_Process_2021,regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005),3/8,0.0047931538507947,0.2072117280112793,0,0,12.256591639871385,65.45714468031582,TGFB2;NOG;TGFBR2
KEGG_2021_Human,Chronic myeloid leukemia,7/76,0.0646925850964717,0.210986044575993,0,0,2.074304613032558,5.67967148338464,CDKN1A;TGFB2;GADD45B;PIK3R3;PIK3R1;TGFBR2;GADD45G
GO_Biological_Process_2021,regulation of fatty acid oxidation (GO:0046320),4/16,0.0055226391436384,0.2135032020722965,0,0,6.814020028612303,35.425404823802126,NR4A3;PDK4;PRKAG2;SOX9
GO_Biological_Process_2021,positive regulation of cold-induced thermogenesis (GO:0120162),11/97,0.0056213938125808,0.2135032020722965,0,0,2.6242363293526085,13.59662933398053,PER2;OXTR;FABP4;ACSL1;IRF4;SCD;LEP;DIO2;G0S2;GADD45G;VEGFA
GO_Biological_Process_2021,sympathetic nervous system development (GO:0048485),4/16,0.0055226391436384,0.2135032020722965,0,0,6.814020028612303,35.425404823802126,NRP2;GDNF;SEMA3A;SOX4
GO_Biological_Process_2021,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),4/16,0.0055226391436384,0.2135032020722965,0,0,6.814020028612303,35.425404823802126,HMOX1;IL12A;THBS1;VEGFA
GO_Biological_Process_2021,regulation of G1/S transition of mitotic cell cycle (GO:2000045),9/71,0.0057126476655533,0.2135032020722965,0,0,2.9755715627936112,15.369043367166087,CDKN1A;CDKN2B;RGCC;ADAMTS1;FAM107A;JADE1;E2F7;MYO16;FGF10
GO_Biological_Process_2021,outflow tract septum morphogenesis (GO:0003148),5/25,0.0053986896129156,0.2135032020722965,0,0,5.113856068743287,26.70250583254509,NRP2;TGFB2;FGFR2;ROBO1;TGFBR2
GO_Biological_Process_2021,regulation of osteoblast differentiation (GO:0045667),10/83,0.0052929116156012,0.2135032020722965,0,0,2.80940264504867,14.72516589638341,FBN2;DNAI3;ZHX3;NOG;CRIM1;TMEM119;PPARG;SOX9;CCN1;FGFR2
GO_Biological_Process_2021,negative regulation of cell cycle G1/S phase transition (GO:1902807),6/35,0.0052389887669021,0.2135032020722965,0,0,4.234705228031146,22.23909139231942,CDKN1A;CDKN2B;FAM107A;JADE1;E2F7;MYO16
GO_Biological_Process_2021,kidney development (GO:0001822),9/70,0.0051988991335556,0.2135032020722965,0,0,3.0245105841158684,15.906833863139848,TGFB2;GDNF;ZBTB16;ITGA8;GDF6;SOX4;AGT;VEGFA;FGF10
GO_Biological_Process_2021,glutamine family amino acid catabolic process (GO:0009065),4/16,0.0055226391436384,0.2135032020722965,0,0,6.814020028612303,35.425404823802126,DDAH1;PRODH;GLUL;GLS
GO_Biological_Process_2021,cellular divalent inorganic cation homeostasis (GO:0072503),12/111,0.0057618005304208,0.2135032020722965,0,0,2.4878656696838517,12.82869241447095,CCR1;MT2A;CXCL12;SLC24A3;CCL8;MT1M;STC1;ATP2A2;SLC39A10;MT1X;HTR2A;MT1E
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),23/274,0.0050670729514559,0.2135032020722965,0,0,1.8881713016499173,9.97897013930752,KCNK6;KCNH5;TRPC6;SLC24A3;KCND2;TRPA1;KCND3;KCNB2;KCNA3;KCNK15;ATP2A2;ABCC9;CACNA1G;P2RX7;SLC6A6;SLC6A9;KCNS1;TRPV6;KCNS3;KCNQ3;SCN7A;ASIC2;SCN1B
GO_Biological_Process_2021,regulation of Wnt signaling pathway (GO:0030111),12/111,0.0057618005304208,0.2135032020722965,0,0,2.4878656696838517,12.82869241447095,SFRP4;KANK1;SFRP2;DAAM2;FRZB;RSPO2;RSPO1;APCDD1;ESR1;FGFR2;NKD1;NKD2
KEGG_2021_Human,Pyruvate metabolism,5/47,0.0675359658069138,0.2153646909620475,0,0,2.4323564012070995,6.55543156595668,ADH1C;ADH1B;ADH1A;ACOT12;ACSS1
KEGG_2021_Human,Chemokine signaling pathway,14/192,0.0673883381387958,0.2153646909620475,0,0,1.6110799678276342,4.345539093283665,CCR1;ADCY4;PIK3R3;PIK3R1;ADCY1;FOXO3;RASGRP2;ADCY8;CXCL12;CCL8;GNG2;ELMO1;PLCG2;RAC3
GO_Biological_Process_2021,positive regulation of bone mineralization (GO:0030501),6/36,0.0060428527532363,0.2214836900425334,0,0,4.093333333333334,20.912344986651753,FBN2;P2RX7;PKDCC;TMEM119;CCN1;GPM6B
KEGG_2021_Human,PI3K-Akt signaling pathway,23/354,0.0710462003614792,0.2240687857554345,0,0,1.4257270774942672,3.77022819038046,CDKN1A;LAMA2;PIK3R3;PIK3R1;BRCA1;FOXO3;NGF;THBS1;VEGFA;COL1A1;COMP;NR4A1;GNG2;COL4A1;COL4A4;ITGA10;COL4A3;ITGA11;ITGA8;FGF22;FGFR2;FGF10;CREB5
GO_Biological_Process_2021,regulation of actin filament-based process (GO:0032970),9/73,0.006856874600059,0.2255984557252333,0,0,2.8822815533980584,14.360978039391828,EPHA5;FAM107A;RHOBTB3;RAC3;RND2;PAK3;CORO2B;GPM6B;RHOB
