Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",21/113,1.5501180397286458e-17,2.6026481887043963e-14,0,0,16.4607976342711,637.1253040258366,RPL4;RPL5;RPL21;RPL10;RPS8;EIF4A3;RPS6;RPLP0;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13;RNPS1;ETF1;PABPC1
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),19/93,8.557415347051718e-17,7.183950183849917e-14,0,0,18.397464983231405,680.6537418331719,RPL4;EIF4A1;RPL5;RPL21;RPL10;RPS8;RPLP0;RPS6;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13;ETF1
GO_Biological_Process_2021,translation (GO:0006412),24/214,1.1078413775312841e-14,6.200218909583419e-12,0,0,9.16470358051262,294.4965492372587,RPL4;RPL5;RPL21;RPL10;RPS8;PABPC4;RPLP0;RPS6;RPL13A;RPSA;RPL8;RPL9;RPL7;MRPL55;EEF1B2;EEF1A1;EEF1G;RPL7A;RPS17;RPS16;RPS3;RPL13;ETF1;RSL24D1
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),17/90,1.4814950571365672e-14,6.218575502330741e-12,0,0,16.566309311097875,527.523299226423,RPL4;RPL5;RPL21;RPL10;RPS8;RPLP0;RPS6;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13
GO_Biological_Process_2021,cellular macromolecule biosynthetic process (GO:0034645),28/314,2.2651529967393453e-14,7.597813098496623e-12,0,0,7.174930729647711,225.42591267975885,RPL4;RPL5;RPL10;RPLP0;RPL8;RPL9;RPL7;MRPL55;EEF1B2;ING5;RPL7A;RPS17;RPS16;RPS3;E2F1;RPL13;RPL21;RPS8;PABPC4;RPS6;RPL13A;RPSA;NAP1L1;EEF1A1;EEF1G;MCM4;RNPS1;RSL24D1
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),21/162,2.945796150146569e-14,7.597813098496623e-12,0,0,10.71354818523154,333.78929505909434,RPL4;RPL5;RPL21;RPL10;RPS8;PABPC4;RPS6;RPLP0;RPL13A;RPSA;RPL8;RPL9;RPL7;MRPL55;EEF1A1;RPL7A;RPS17;RPS16;RPS3;RPL13;RSL24D1
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),17/94,3.167640958277329e-14,7.597813098496623e-12,0,0,15.702522115565596,488.0847008748114,RPL4;RPL5;RPL21;RPL10;RPS8;RPLP0;RPS6;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13
GO_Biological_Process_2021,gene expression (GO:0010467),29/356,7.867378970468008e-14,1.6374893861685325e-11,0,0,6.510286349735891,196.43790600860476,RPL4;RPL5;RPL10;EIF4A3;RPLP0;RPL8;RPL9;TSPAN33;RPL7;MRPL55;RPL7A;RPS17;RPS16;POM121C;RPS3;E2F1;RPL13;RPL21;RPS8;PABPC4;RPS6;RPL13A;RPSA;SRRM1;EEF1A1;HNRNPUL1;HNRNPD;RNPS1;RSL24D1
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),21/171,8.77748926475092e-14,1.6374893861685325e-11,0,0,10.06610294117647,302.62732784173795,RPL4;RPL5;RPL21;RPL10;RPS8;EIF4A3;RPS6;RPLP0;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13;RNPS1;ETF1;PABPC1
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),17/103,1.5360966701795228e-13,2.579106309231419e-11,0,0,14.052789012470509,414.61856907261927,RPL4;RPL5;RPL21;RPL10;RPS8;RPS6;RPLP0;RPL13A;RPSA;RPL8;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS3;RPL13
